island_name,area_km2,centroid_lon,centroid_lat,centroid_easting,centroid_northing,dist_mainland_km,dist_nearest_large_km,effective_isolation_index,aspect
Nicobar Islands_0,0.20038028376962164,93.78769341687972,6.850202918863439,587031.6776475047,757260.7290151463,1650.1029380018401,19.510031229438138,0.04052340415607328,east
Nicobar Islands_1,947.906049709192,93.80664745642551,7.02565413448542,589093.0398876145,776661.5564276228,1642.9896592538098,36.86511028039224,0.025827502814053414,east
Nicobar Islands_2,1.8919553421964352,93.71364217410381,7.217239163290331,578787.4812888982,797825.6592197639,1624.2211306681402,13.515449583076565,0.01769389926852917,east
Nicobar Islands_3,0.11637977520784736,93.84617477388362,7.28805900013705,593405.6941816001,805680.4892991501,1633.8291575044439,18.62402963329166,0.02059449417582227,east
Nicobar Islands_4,146.03024915507595,93.68442074321734,7.335955802388734,575541.3670712176,810945.4961058863,1615.4682759715167,36.86511028039224,0.014124681490142125,east
Nicobar Islands_5,0.02489437155110296,93.66399306937895,7.383602141722426,573278.7894877756,816209.672543794,1611.1123730286038,5.729817701333709,0.02676072773095648,east
Nicobar Islands_6,0.8000070931858304,93.76757672685821,7.397966555883027,584708.2460818387,817816.1295277061,1620.6830106793118,11.455883833750791,0.015012593131454931,east
Nicobar Islands_7,1.20317453286647,93.68871332041027,7.402834814449219,576003.772153637,818340.1028364345,1612.6242618344395,7.4090503547834,0.013407172612021203,east
Nicobar Islands_8,0.5398680224998424,93.64827062159829,7.4730960100688275,571529.1013517779,826101.1569325965,1605.2031799739318,15.6777655071655,0.013705357310624344,east
Nicobar Islands_9,0.5908542632141914,93.65061209253359,8.39171641734173,571628.3058189938,927662.4765200339,1563.6715387851352,33.40897688430901,0.014484546497830639,east
Nicobar Islands_10,16.761138259447137,93.62551087979853,8.498521836108987,568845.7784306287,939466.4278778479,1556.6121807868958,43.177798129604135,0.014160036495399861,east
Nicobar Islands_11,0.09790615917222027,93.60801868489628,8.580253551341821,566906.2199608919,948499.66532767,1551.4283385993886,51.37946166647747,0.018102592315504207,east
Nicobar Islands_12,0.15881312365962869,93.63245710680002,7.4779530819913695,569783.4234537038,826635.5958639947,1603.3983788204541,16.71326255169413,0.014599474027758077,east
Nicobar Islands_13,1.2301938301984574,93.54456214260965,7.517286190921702,560079.6563160062,830971.0556188151,1592.7707431288406,25.299951250618538,0.014196683134530113,east
Nicobar Islands_14,161.13219330596561,93.3862414203214,7.94698783389141,542569.2830781022,878457.1195183311,1556.681956747228,23.772265949695893,0.0115112573551298,east
Nicobar Islands_15,50.22706836137673,93.55229982666752,7.981354694390152,560866.6665751586,882277.3190529502,1571.7765297494516,16.991177109108413,0.013587409660683239,east
Nicobar Islands_16,0.03193606883136008,93.34157331217212,7.905279911513388,537649.9544157591,873841.8580326182,1554.1389454024093,6.745400882798262,0.016251851167578574,east
Nicobar Islands_17,0.033748767926648146,93.33955848821132,7.909843918367581,537427.4563154601,874346.2408336219,1553.725294680676,6.583138006864058,0.01583306318808581,east
Nicobar Islands_18,10.466549389924856,93.23580389857064,8.242966758942071,525969.8517033728,911166.0233630744,1528.1456081815845,32.17697654303863,0.015881180804364094,east
Nicobar Islands_19,91.77651550247981,93.13067912378325,8.269004151368254,514391.1477896205,914039.2320521661,1516.387325430107,43.98890257512684,0.01763440539316634,east
Nicobar Islands_20,17.794889534190045,93.58262746477125,8.08367141658341,564192.9840780885,893593.7712194398,1570.2192676092104,9.92796895329105,0.014345510465330467,east
Nicobar Islands_21,138.58810006674517,93.50384275641602,8.127256775113047,555506.4000296955,898400.8311428976,1560.3301931598173,23.772265949695893,0.013860607935069474,east
Nicobar Islands_22,0.07056285931705311,93.63436413860956,8.396393481480917,569838.6009695437,928176.6462099081,1561.8211437114878,33.04559194030262,0.017287857967894726,east
Nicobar Islands_23,0.04578358384866081,93.61223972551238,8.485478105348307,567387.333258352,938021.9768810734,1555.8070166159025,41.364136205045604,0.019780893341149932,east
Nicobar Islands_24,7.143557515815491,93.04677041579231,8.45402133349471,505148.19937071146,934491.4816880712,1499.7494762934766,61.95549556241428,0.01972460709961372,east
Nicobar Islands_25,1.8561488879451504,92.85774966446674,8.827742333647036,484357.35673528706,975810.9181360672,1464.646739397597,39.49018491117126,0.017043725339724793,east
